# "normed" heterozygosity normalized by value at which full satellite has one individual with a different allele than everyone else: 2(1/max_num)(1-1/max_num)
# "max_normed" normalized against maximum possible H in full satellite: 1 - 1/max_num
max_num,max_density,percent local,$\mu$,avg H,normed,max_normed,num. satellites,avg occupancy (in full enough),num satellites (full enough)
10,3.1831,0,1.0,0.17528879661016952,0.973826647834275,0.19476532956685502,59,8.11864406779661,59
10,3.1831,5,1.0,0.18214389285714286,1.0119105158730157,0.20238210317460317,56,8.339285714285714,56
10,3.1831,10,1.0,0.11230502702702704,0.6239168168168168,0.12478336336336338,74,8.5,74
10,3.1831,15,1.0,0.12050743137254902,0.6694857298474944,0.1338971459694989,51,8.549019607843137,51
10,3.1831,20,1.0,0.0766365945945946,0.42575885885885884,0.08515177177177177,74,8.608108108108109,74
10,3.1831,25,1.0,0.10624511666666667,0.5902506481481481,0.11805012962962963,60,8.45,60
10,3.1831,30,1.0,0.07021092063492063,0.3900606701940034,0.0780121340388007,63,9.444444444444445,63
10,3.1831,35,1.0,0.0660471911764706,0.36692883986928104,0.07338576797385621,68,9.617647058823529,68
10,3.1831,40,1.0,0.03579021818181818,0.1988345454545454,0.03976690909090908,55,10.327272727272728,55
10,3.1831,45,1.0,0.033528301587301586,0.18626834215167545,0.0372536684303351,63,9.746031746031745,63
10,3.1831,50,1.0,0.02359903076923077,0.1311057264957265,0.0262211452991453,65,10.184615384615384,65
10,3.1831,55,1.0,0.040520610169491524,0.22511450094161956,0.04502290018832392,59,10.40677966101695,59
10,3.1831,60,1.0,0.004648765625,0.02582647569444444,0.0051652951388888885,64,10.671875,64
10,3.1831,65,1.0,0.020830220588235294,0.11572344771241828,0.023144689542483658,68,11.132352941176471,68
10,3.1831,70,1.0,0.0029515892857142857,0.01639771825396825,0.0032795436507936505,56,10.803571428571429,56
10,3.1831,75,1.0,0.02438932,0.1354962222222222,0.02709924444444444,25,11.04,25
10,3.1831,80,1.0,0.01111112,0.06172844444444444,0.012345688888888888,25,10.96,25
10,3.1831,85,1.0,0.0,0.0,0.0,28,11.285714285714286,28
10,3.1831,90,1.0,0.0,0.0,0.0,59,11.35593220338983,59
10,3.1831,95,1.0,0.0,0.0,0.0,26,11.23076923076923,26
10,3.1831,99,1.0,0.0,0.0,0.0,50,11.72,50
10,3.1831,0,1.25,0.1497733220338983,0.8320740112994348,0.16641480225988697,59,8.05084745762712,59
10,3.1831,5,1.25,0.0967065925925926,0.5372588477366255,0.1074517695473251,54,8.037037037037036,54
10,3.1831,10,1.25,0.06991034939759037,0.3883908299866131,0.07767816599732263,83,8.19277108433735,83
10,3.1831,15,1.25,0.07938383636363638,0.4410213131313132,0.08820426262626264,55,8.709090909090909,55
10,3.1831,20,1.25,0.03420556338028169,0.19003090766823158,0.03800618153364632,71,8.549295774647888,71
10,3.1831,25,1.25,0.05758710769230769,0.319928376068376,0.06398567521367521,65,8.661538461538461,65
10,3.1831,30,1.25,0.10296377777777777,0.5720209876543209,0.11440419753086419,54,8.925925925925926,54
10,3.1831,35,1.25,0.07040074545454546,0.3911152525252525,0.0782230505050505,55,9.763636363636364,55
10,3.1831,40,1.25,0.026417516129032263,0.14676397849462366,0.029352795698924735,62,9.67741935483871,62
10,3.1831,45,1.25,0.05592925373134328,0.3107180762852404,0.06214361525704809,67,9.805970149253731,67
10,3.1831,50,1.25,0.015963377049180327,0.08868542805100181,0.017737085610200362,61,10.065573770491802,61
10,3.1831,55,1.25,0.02256477777777778,0.12535987654320987,0.025071975308641976,54,10.38888888888889,54
10,3.1831,60,1.25,0.020648148148148148,0.11471193415637859,0.02294238683127572,54,10.185185185185185,54
10,3.1831,65,1.25,0.027833553571428575,0.15463085317460318,0.03092617063492064,56,10.696428571428571,56
10,3.1831,70,1.25,0.016128901960784314,0.08960501089324618,0.017921002178649236,51,10.568627450980392,51
10,3.1831,75,1.25,0.0,0.0,0.0,52,10.846153846153847,52
10,3.1831,80,1.25,0.005365425925925926,0.02980792181069959,0.005961584362139918,54,10.75925925925926,54
10,3.1831,85,1.25,0.0,0.0,0.0,55,11.436363636363636,55
10,3.1831,90,1.25,0.0,0.0,0.0,62,11.209677419354838,62
10,3.1831,95,1.25,0.0,0.0,0.0,29,11.0,29
10,3.1831,99,1.25,0.0,0.0,0.0,53,11.547169811320755,53
10,3.1831,0,1.5,0.0847489696969697,0.4708276094276094,0.09416552188552188,66,7.803030303030303,66
10,3.1831,5,1.5,0.05071364705882352,0.28174248366013066,0.05634849673202613,51,8.568627450980392,51
10,3.1831,10,1.5,0.03378590909090909,0.18769949494949492,0.037539898989898984,55,8.10909090909091,55
10,3.1831,15,1.5,0.025984610169491527,0.14435894538606403,0.028871789077212807,59,8.542372881355933,59
10,3.1831,20,1.5,0.038213,0.2122944444444444,0.042458888888888886,53,8.849056603773585,53
10,3.1831,25,1.5,0.0204686935483871,0.1137149641577061,0.02274299283154122,62,9.016129032258064,62
10,3.1831,30,1.5,0.035208245283018864,0.1956013626834381,0.03912027253668763,53,9.283018867924529,53
10,3.1831,35,1.5,0.015794912280701755,0.0877495126705653,0.017549902534113062,57,9.140350877192983,57
10,3.1831,40,1.5,0.020268396226415093,0.1126022012578616,0.022520440251572325,53,9.415094339622641,53
10,3.1831,45,1.5,0.010088254237288137,0.05604585687382298,0.011209171374764597,59,9.779661016949152,59
10,3.1831,50,1.5,0.005751945945945946,0.031955255255255256,0.006391051051051051,74,9.91891891891892,74
10,3.1831,55,1.5,0.010649603773584907,0.05916446540880503,0.011832893081761007,53,10.0,53
