x,y,radial distance,birth gen,mutation
-0.728974,-1.31227,1.50115,1.0,0.0
6.48854,3.30465,7.28161,1.0,0.0
2.57591,-0.0943924,2.57764,1.0,0.0
4.51949,-0.586586,4.5574,1.0,0.0
-2.73484,-2.26075,3.54829,1.0,0.0
2.17578,-4.61971,5.10644,1.0,0.0
1.34681,0.0429745,1.3475,1.0,0.0
-5.50772,-0.118486,5.509,1.0,0.0
-2.40212,1.52759,2.8467,1.0,0.0
-0.025795,1.23495,1.23522,1.0,0.0
-1.2858,1.70852,2.1383,1.0,0.0
-2.34075,-1.32174,2.68815,1.0,0.0
-0.259379,-1.49165,1.51403,1.0,0.0
-2.25799,0.758254,2.3819,1.0,0.0
-0.427459,3.64327,3.66826,1.0,0.0
-1.15697,2.13885,2.43172,1.0,0.0
-2.36624,-2.62983,3.53767,1.0,0.0
-1.0579,-0.113472,1.06397,1.0,0.0
-4.0237,-0.776354,4.09791,1.0,0.0
0.659376,1.37059,1.52095,1.0,0.0
-0.917441,0.894984,1.28168,1.0,0.0
4.10117,-1.45775,4.35254,1.0,0.0
1.10477,0.224972,1.12744,1.0,0.0
0.328785,-2.3005,2.32388,1.0,0.0
-1.89017,-1.2473,2.26462,1.0,0.0
-1.8942,-0.848305,2.07548,1.0,0.0
-1.34034,-0.0514649,1.34133,1.0,0.0
-0.151443,-1.53132,1.53879,1.0,0.0
-0.547738,2.93809,2.98871,1.0,0.0
-2.73113,0.613423,2.79917,1.0,0.0
2.10945,0.230647,2.12203,1.0,0.0
-1.18,1.04749,1.57786,1.0,0.0
3.17439,-0.806846,3.27532,1.0,0.0
-2.80634,2.84677,3.99746,1.0,0.0
0.878339,-3.68746,3.79062,1.0,0.0
-2.67334,2.3794,3.57887,1.0,0.0
1.29989,0.627039,1.44322,1.0,0.0
-5.79284,3.54572,6.79184,1.0,0.0
1.28062,0.577953,1.405,1.0,0.0
0.629192,1.1297,1.2931,1.0,0.0
0.768174,-1.23852,1.4574,1.0,0.0
-0.590172,-2.5678,2.63475,1.0,0.0
0.022687,1.38547,1.38565,1.0,0.0
1.08731,0.18746,1.10335,1.0,0.0
-0.779806,1.11679,1.3621,1.0,0.0
-1.58247,1.3032,2.05001,1.0,1.0
2.35659,-4.67909,5.23903,1.0,0.0
-0.435468,1.81275,1.86433,1.0,0.0
-1.03239,-1.54368,1.85709,1.0,0.0
3.45767,-3.10971,4.65035,1.0,0.0
4.29668,0.296575,4.3069,1.0,0.0
2.69481,-1.14938,2.92969,1.0,0.0
1.88483,3.41987,3.90488,1.0,0.0
-6.21527,1.55639,6.40717,1.0,0.0
1.2083,-2.23136,2.53751,1.0,0.0
2.12126,1.63095,2.67577,1.0,0.0
2.90417,0.307551,2.92041,1.0,0.0
2.1344,0.858342,2.30052,1.0,0.0
0.910043,5.88878,5.95869,1.0,0.0
-0.0301934,1.33627,1.33661,1.0,0.0
-0.541119,-4.25613,4.29039,1.0,0.0
-0.659861,-1.65672,1.78329,1.0,0.0
-1.2642,-0.811782,1.50239,1.0,0.0
1.73219,-0.768598,1.89506,1.0,0.0
-1.1145,0.928162,1.45038,1.0,0.0
0.738042,-3.54473,3.62075,1.0,0.0
-1.50895,-2.31546,2.76375,1.0,0.0
1.76712,-4.65694,4.98094,1.0,0.0
0.531929,-2.08475,2.15154,1.0,0.0
-1.70911,3.65527,4.03511,1.0,0.0
-0.284451,-1.54862,1.57453,1.0,0.0
-0.328138,-1.02369,1.07499,1.0,0.0
-2.67851,1.73837,3.19317,1.0,0.0
1.50349,-1.04238,1.82949,1.0,0.0
-1.81408,-1.23766,2.19606,1.0,0.0
2.34999,-1.14657,2.61478,1.0,0.0
2.78646,-3.42915,4.41853,1.0,0.0
-1.98128,-1.19488,2.3137,1.0,0.0
-2.40048,4.08104,4.73468,1.0,0.0
-1.04232,-1.80091,2.08079,1.0,0.0
-0.983281,-1.13652,1.50284,1.0,0.0
-0.171997,-1.22438,1.2364,1.0,0.0
-1.91105,-0.279856,1.93143,1.0,0.0
1.91667,-1.43663,2.39532,1.0,0.0
-3.02153,0.640938,3.08876,1.0,0.0
-2.87738,-0.637703,2.9472,1.0,0.0
-2.41782,-0.139194,2.42183,1.0,0.0
-0.867098,-1.21606,1.49354,1.0,0.0
2.37564,-0.576494,2.44459,1.0,0.0
0.907156,-0.654677,1.11872,1.0,0.0
-0.321996,0.225029,0.392835,1.0,0.0
1.65442,-1.39,2.16084,1.0,0.0
-1.89143,1.72894,2.56257,1.0,0.0
3.66259,0.0411495,3.66282,1.0,0.0
1.26104,-1.11572,1.68376,1.0,0.0
0.39988,1.34223,1.40053,1.0,0.0
-0.699696,-2.36375,2.46513,1.0,0.0
3.79927,-0.169723,3.80306,1.0,0.0
-1.62745,4.25435,4.55501,1.0,0.0
-5.03897,2.93829,5.83307,1.0,0.0
6.02535,4.34663,7.42954,2.0,0.0
3.1751,0.72498,3.25682,2.0,0.0
-3.1882,-1.38455,3.47587,2.0,0.0
-1.29783,3.73338,3.95253,2.0,0.0
-2.11827,2.80102,3.5118,2.0,0.0
-3.74435,-0.857772,3.84134,2.0,0.0
3.37396,-1.12946,3.55799,2.0,0.0
-5.44861,3.40789,6.42659,2.0,0.0
1.37446,2.06175,2.4779,2.0,0.0
1.83458,-2.04616,2.74817,2.0,0.0
-0.850934,-3.52434,3.62561,2.0,0.0
3.55816,-1.91555,4.04102,2.0,0.0
4.30427,0.313069,4.31564,2.0,0.0
2.68143,5.06546,5.7314,2.0,0.0
1.99214,3.53008,4.0534,2.0,0.0
-0.351191,4.41157,4.42553,2.0,0.0
2.29287,3.41141,4.11035,2.0,0.0
0.607888,6.06286,6.09326,2.0,0.0
1.47977,5.10021,5.31055,2.0,0.0
1.24944,-2.19881,2.529,2.0,0.0
-5.11409,3.44981,6.16888,2.0,0.0
-3.48085,2.42277,4.24101,2.0,0.0
-3.09926,0.777222,3.19523,2.0,0.0
-3.80963,0.579952,3.85352,2.0,0.0
-3.42174,0.209362,3.42814,2.0,0.0
3.36296,-0.410163,3.38788,2.0,0.0
-0.758922,2.62295,2.73054,2.0,0.0
-2.69477,2.22131,3.49228,2.0,0.0
0.590912,-2.37596,2.44834,2.0,0.0
3.25914,0.898937,3.38084,2.0,0.0
-2.42434,5.45545,5.96987,2.0,0.0
-4.7384,2.31853,5.27522,2.0,0.0
-4.65767,2.83974,5.45509,2.0,0.0
6.48118,3.21988,7.23694,3.0,0.0
6.32399,2.25713,6.71472,3.0,0.0
6.08123,3.2213,6.88172,3.0,0.0
6.60964,3.32787,7.40014,3.0,0.0
4.24463,-1.14158,4.39546,3.0,0.0
5.0116,-1.07843,5.12631,3.0,0.0
-3.37421,-1.87408,3.85972,3.0,0.0
3.65441,-4.51518,5.80875,3.0,0.0
-6.35851,0.0318801,6.35859,3.0,0.0
-7.32197,-3.00051,7.91292,3.0,0.0
-1.47558,-3.23925,3.5595,3.0,0.0
4.10442,-1.46375,4.35761,3.0,0.0
-0.82839,-3.95508,4.0409,3.0,0.0
0.768722,4.55859,4.62295,3.0,0.0
-2.76676,2.81173,3.94472,3.0,0.0
-2.83374,2.59653,3.84344,3.0,0.0
-4.64838,3.15054,5.61545,3.0,0.0
2.13936,-3.82046,4.37867,3.0,0.0
1.7247,-4.52057,4.8384,3.0,0.0
3.47903,-4.33407,5.55768,3.0,0.0
5.40941,0.63402,5.44644,3.0,0.0
5.42928,1.06396,5.53254,3.0,0.0
-6.34156,1.63678,6.54938,3.0,0.0
1.71802,3.23743,3.66504,3.0,0.0
-0.492811,-5.3475,5.37016,3.0,0.0
-2.8617,4.8525,5.63348,3.0,0.0
0.994983,-3.75176,3.88145,3.0,0.0
-1.69722,3.40601,3.80545,3.0,0.0
-2.31466,6.49758,6.89755,3.0,0.0
1.3938,-3.20015,3.49051,3.0,0.0
-1.59443,2.7442,3.17378,3.0,0.0
5.56952,0.879656,5.63856,3.0,0.0
4.50789,0.286012,4.51696,3.0,0.0
-1.38656,5.27784,5.45694,3.0,0.0
-6.30756,1.78687,6.55577,3.0,0.0
4.61103,1.7144,4.91943,3.0,0.0
-3.51112,-1.25471,3.72857,3.0,0.0
-1.38697,4.55195,4.75856,3.0,0.0
-1.5789,3.98573,4.28707,3.0,0.0
-0.784419,3.24086,3.33444,3.0,0.0
-2.79318,3.02909,4.12034,3.0,0.0
-3.99916,1.62571,4.31696,3.0,0.0
-3.73963,-0.857803,3.83675,3.0,0.0
0.840566,-3.18296,3.29207,3.0,0.0
4.39943,4.54318,6.3242,3.0,0.0
1.89065,1.70855,2.54828,3.0,0.0
2.60525,-2.17249,3.3922,3.0,0.0
-1.65265,-2.73381,3.19452,3.0,0.0
3.41391,-2.08511,4.00031,3.0,0.0
4.57113,-2.64824,5.28284,3.0,0.0
4.42205,5.70228,7.21599,3.0,0.0
2.44465,5.32866,5.86267,3.0,0.0
1.28892,5.99703,6.13397,3.0,0.0
1.93025,2.90333,3.48643,3.0,0.0
1.40709,4.86295,5.06243,3.0,0.0
3.59264,5.2687,6.37701,3.0,0.0
1.73932,2.3544,2.92719,3.0,0.0
2.59407,3.04283,3.9985,3.0,0.0
2.79141,4.30511,5.13088,3.0,0.0
2.8145,3.02614,4.13266,3.0,0.0
2.40191,3.4563,4.20894,3.0,0.0
2.15372,4.77526,5.23848,3.0,0.0
-5.01914,3.72319,6.24931,3.0,0.0
-5.27517,-1.35755,5.44705,3.0,0.0
0.118584,2.35832,2.3613,3.0,0.0
-0.412041,-3.46237,3.4868,3.0,0.0
3.09578,0.929794,3.2324,3.0,0.0
-4.56006,1.03909,4.67695,3.0,0.0
-3.96035,3.00704,4.97259,3.0,0.0
6.57921,3.28255,7.35263,4.0,0.0
-4.761,-0.579395,4.79613,4.0,0.0
-0.425184,3.99805,4.0206,4.0,0.0
0.619756,11.1066,11.1239,4.0,0.0
0.103268,-4.03971,4.04103,4.0,0.0
2.71454,-5.56599,6.19266,4.0,0.0
10.8942,-4.82642,11.9154,4.0,0.0
0.55602,-4.4956,4.52986,4.0,0.0
1.88221,-3.52774,3.99846,4.0,0.0
-2.64229,4.71861,5.40805,4.0,0.0
-4.59093,-1.28736,4.76801,4.0,0.0
-4.563,3.85968,5.97646,4.0,0.0
-4.76791,2.45439,5.36255,4.0,0.0
5.18255,4.49424,6.85981,4.0,0.0
5.85082,4.33282,7.28048,4.0,0.0
2.38429,1.74252,2.95317,4.0,0.0
-4.20554,-2.89195,5.10391,4.0,0.0
-3.03599,-1.58098,3.42297,4.0,0.0
-3.26496,-0.965853,3.40483,4.0,0.0
-5.25618,1.38693,5.43609,4.0,0.0
0.455148,3.54922,3.57829,4.0,0.0
-0.42513,-5.18182,5.19923,4.0,0.0
5.55474,2.70139,6.17679,4.0,0.0
3.03307,4.46271,5.39586,4.0,0.0
0.91055,3.97054,4.0736,4.0,0.0
2.82369,3.76067,4.70276,4.0,0.0
-4.28478,2.27009,4.84898,4.0,0.0
-3.87984,1.13984,4.04381,4.0,0.0
-2.66947,6.50051,7.02728,4.0,0.0
7.28444,2.43696,7.68126,4.0,0.0
7.09057,2.7834,7.61732,4.0,0.0
4.41119,-1.59997,4.69239,4.0,0.0
5.19818,-1.58313,5.43391,4.0,0.0
3.25281,-3.50058,4.77858,4.0,0.0
-7.36432,-0.00466479,7.36432,4.0,0.0
-7.08538,-2.8263,7.62827,4.0,0.0
4.91102,-0.771119,4.97119,4.0,0.0
2.59853,-3.4814,4.34425,4.0,0.0
2.49104,-5.4882,6.02708,4.0,0.0
3.48779,-4.32384,5.5552,4.0,0.0
